date,equity,cash,holdings
2025-12-04,2.12,2.12,0.0
2025-12-05,1.6849999999999998,1.5899999999999999,0.095
2025-12-06,5.895000000000007,2.160000000000006,3.7350000000000003
2025-12-07,126.11500000000001,5.920000000000004,120.19500000000001
2025-12-08,89.47,18.31000000000001,71.16
2025-12-09,66.84000000000002,11.460000000000019,55.38
2025-12-10,77.55000000000001,2.7600000000000047,74.79
2025-12-11,69.90499999999999,37.26999999999998,32.635000000000005
2025-12-12,40.12499999999997,30.369999999999973,9.754999999999999
2025-12-13,47.16499999999996,7.7499999999999645,39.41499999999999
2025-12-14,45.42999999999996,7.279999999999959,38.15
2025-12-15,35.23999999999997,15.279999999999966,19.959999999999997
2025-12-16,19.889999999999954,5.019999999999953,14.870000000000001
2025-12-17,20.624999999999957,3.8599999999999572,16.765
2025-12-18,34.474999999999966,4.779999999999967,29.695
2025-12-19,22.604999999999976,10.519999999999976,12.084999999999999
2025-12-20,9.269999999999964,4.209999999999964,5.06
2025-12-21,10.734999999999964,3.409999999999964,7.325
2025-12-22,5.619999999999962,1.8599999999999615,3.7600000000000002
2025-12-23,1.929999999999961,1.5199999999999612,0.41
2025-12-24,1.414999999999961,1.389999999999961,0.025
2025-12-25,1.1699999999999608,1.0699999999999608,0.1
2025-12-26,1.0549999999999606,1.0199999999999607,0.034999999999999996
2025-12-27,0.7249999999999605,0.6799999999999604,0.045
2025-12-28,0.6549999999999604,0.6499999999999604,0.005
2025-12-29,0.6249999999999604,0.6199999999999604,0.005
2025-12-30,0.5899999999999603,0.5399999999999603,0.05
2025-12-31,0.45999999999996016,0.4199999999999602,0.04
2026-01-01,0.4199999999999602,0.4199999999999602,0.0
2026-01-02,0.36999999999996014,0.35999999999996013,0.01
2026-01-03,0.35999999999996013,0.35999999999996013,0.0
2026-01-04,0.3349999999999601,0.3299999999999601,0.005
2026-01-05,0.3299999999999601,0.3299999999999601,0.0
2026-01-06,0.3299999999999601,0.3299999999999601,0.0
2026-01-07,0.3299999999999601,0.3299999999999601,0.0
2026-01-08,0.3299999999999601,0.3299999999999601,0.0
2026-01-09,0.3299999999999601,0.3299999999999601,0.0
2026-01-10,0.3299999999999601,0.3299999999999601,0.0
2026-01-11,0.3299999999999601,0.3299999999999601,0.0
