market_id,ticker,start,open,high,low,close,count
KXHIGHNY-25AUG12-T93,KXHIGHNY-25AUG12-T93,2025-08-11T18:25:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25AUG12-T93,KXHIGHNY-25AUG12-T93,2025-08-11T20:35:00+00:00,3.0,3.0,3.0,3.0,1
KXHIGHNY-25AUG12-T93,KXHIGHNY-25AUG12-T93,2025-08-11T22:55:00+00:00,3.0,3.0,3.0,3.0,1
KXHIGHNY-25AUG12-T93,KXHIGHNY-25AUG12-T93,2025-08-12T03:25:00+00:00,3.0,3.0,3.0,3.0,1
KXHIGHNY-25AUG12-T93,KXHIGHNY-25AUG12-T93,2025-08-12T04:35:00+00:00,3.0,3.0,3.0,3.0,1
KXHIGHNY-25AUG12-T86,KXHIGHNY-25AUG12-T86,2025-08-11T18:00:00+00:00,1.0,1.0,1.0,1.0,2
KXHIGHNY-25AUG12-T86,KXHIGHNY-25AUG12-T86,2025-08-12T00:40:00+00:00,3.0,3.0,3.0,3.0,1
KXHIGHNY-25AUG12-T86,KXHIGHNY-25AUG12-T86,2025-08-12T03:10:00+00:00,2.0,2.0,2.0,2.0,1
KXHIGHNY-25AUG12-T86,KXHIGHNY-25AUG12-T86,2025-08-12T03:25:00+00:00,2.0,2.0,2.0,2.0,1
KXHIGHNY-25AUG12-T86,KXHIGHNY-25AUG12-T86,2025-08-12T03:50:00+00:00,2.0,2.0,2.0,2.0,1
KXHIGHNY-25AUG12-T86,KXHIGHNY-25AUG12-T86,2025-08-12T04:35:00+00:00,2.0,2.0,2.0,2.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T14:05:00+00:00,13.0,17.0,13.0,17.0,3
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T17:15:00+00:00,10.0,10.0,10.0,10.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T20:00:00+00:00,18.0,18.0,17.0,17.0,2
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T20:05:00+00:00,17.0,17.0,17.0,17.0,2
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T20:30:00+00:00,17.0,17.0,16.0,17.0,3
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T20:35:00+00:00,20.0,20.0,20.0,20.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T21:15:00+00:00,16.0,16.0,16.0,16.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T21:45:00+00:00,15.0,15.0,15.0,15.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T22:00:00+00:00,11.0,11.0,10.0,10.0,3
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T22:20:00+00:00,9.0,9.0,9.0,9.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T22:30:00+00:00,10.0,10.0,10.0,10.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T22:50:00+00:00,9.0,9.0,9.0,9.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-11T23:05:00+00:00,11.0,13.0,11.0,11.0,4
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T00:00:00+00:00,12.0,12.0,12.0,12.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T00:30:00+00:00,9.0,9.0,9.0,9.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T00:55:00+00:00,12.0,12.0,10.0,10.0,3
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T01:05:00+00:00,12.0,12.0,10.0,10.0,2
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T01:35:00+00:00,9.0,9.0,7.0,7.0,3
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T02:05:00+00:00,11.0,11.0,11.0,11.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T03:05:00+00:00,10.0,10.0,10.0,10.0,2
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T03:10:00+00:00,6.0,6.0,6.0,6.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T03:25:00+00:00,6.0,6.0,6.0,6.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T03:40:00+00:00,7.0,7.0,7.0,7.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T04:05:00+00:00,7.0,7.0,7.0,7.0,1
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T04:15:00+00:00,7.0,8.0,7.0,8.0,3
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T04:45:00+00:00,9.0,13.0,8.0,8.0,7
KXHIGHNY-25AUG12-B92.5,KXHIGHNY-25AUG12-B92.5,2025-08-12T04:50:00+00:00,13.0,13.0,10.0,10.0,3
