time,action,price,qty,fee,ticker,source,cost,spread,capital_after,slippage,mid_at_fill,viz_y,note
2026-01-09 05:20:46.093275,BUY_YES,6.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.06999999999999999,1,2.0500000000000003,0.5,5.5,,
2026-01-09 05:25:46.702834,BUY_YES,6.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.06999999999999999,1,1.9800000000000002,0.5,5.5,,
2026-01-09 05:25:49.551865,BUY_YES,6.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.06999999999999999,2,1.9100000000000001,1.0,5.0,,
2026-01-09 05:26:53.880947,BUY_YES,6.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.06999999999999999,3,1.84,1.5,4.5,,
2026-01-09 05:26:59.132444,BUY_YES,5.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.060000000000000005,2,1.78,1.0,4.0,,
2026-01-09 05:59:12.505827,BUY_YES,7.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.08,3,1.7,1.5,5.5,,
2026-01-09 05:59:21.489879,BUY_YES,5.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.060000000000000005,2,1.64,1.0,4.0,,
2026-01-09 06:00:52.050146,BUY_YES,5.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.060000000000000005,1,1.5799999999999998,0.5,4.5,,
2026-01-09 06:00:56.333162,BUY_YES,5.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.060000000000000005,1,1.5199999999999998,0.5,4.5,,
2026-01-09 06:00:58.898196,BUY_YES,5.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.060000000000000005,1,1.4599999999999997,0.5,4.5,,
2026-01-09 06:01:02.823197,BUY_YES,5.0,1,0.01,KXHIGHNY-26JAN09-B49.5,MM,0.060000000000000005,1,1.3999999999999997,0.5,4.5,,
2026-01-09 13:01:03.818043,BUY_YES,4.0,1,0.01,KXHIGHNY-26JAN09-B55.5,MM,0.05,1,1.3499999999999996,0.5,3.5,,
2026-01-09 13:02:02.040765,BUY_YES,4.0,1,0.01,KXHIGHNY-26JAN09-B55.5,MM,0.05,1,1.2999999999999996,0.5,3.5,,
2026-01-09 13:07:21.872880,BUY_YES,4.0,1,0.01,KXHIGHNY-26JAN09-B55.5,MM,0.05,1,1.2499999999999996,0.5,3.5,,
2026-01-09 13:07:27.535498,BUY_YES,3.0,1,0.01,KXHIGHNY-26JAN09-B55.5,MM,0.04,1,1.2099999999999995,0.5,2.5,,
2026-01-09 13:07:30.052267,BUY_YES,3.0,1,0.01,KXHIGHNY-26JAN09-B55.5,MM,0.04,1,1.1699999999999995,0.5,2.5,,
2026-01-09 13:07:31.913747,BUY_YES,3.0,1,0.01,KXHIGHNY-26JAN09-B55.5,MM,0.04,1,1.1299999999999994,0.5,2.5,,
2026-01-09 13:07:36.329939,BUY_YES,3.0,1,0.01,KXHIGHNY-26JAN09-B55.5,MM,0.04,1,1.0899999999999994,0.5,2.5,,
2026-01-09 21:07:19.680501,BUY_YES,2.0,3,0.01,KXHIGHNY-26JAN10-B54.5,MM,0.06999999999999999,2,1.0199999999999994,1.0,1.0,,
2026-01-09 21:07:48.104482,BUY_NO,3.0,1,0.01,KXHIGHNY-26JAN10-B52.5,MM,0.04,2,0.9799999999999993,1.0,98.0,,
2026-01-09 21:08:06.062776,BUY_NO,3.0,1,0.01,KXHIGHNY-26JAN10-B52.5,MM,0.04,2,0.9399999999999993,1.0,98.0,,
2026-01-09 21:08:09.445829,BUY_NO,3.0,1,0.01,KXHIGHNY-26JAN10-B52.5,MM,0.04,2,0.8999999999999992,1.0,98.0,,
2026-01-09 21:08:14.340209,BUY_YES,2.0,1,0.01,KXHIGHNY-26JAN10-B54.5,MM,0.03,2,0.8699999999999992,1.0,1.0,,
2026-01-09 21:08:14.417489,BUY_NO,3.0,1,0.01,KXHIGHNY-26JAN10-B52.5,MM,0.04,2,0.8299999999999992,1.0,98.0,,
2026-01-09 21:08:42.358515,BUY_YES,2.0,1,0.01,KXHIGHNY-26JAN10-B54.5,MM,0.03,1,0.7999999999999992,0.5,1.5,,
2026-01-09 21:08:47.097933,BUY_NO,3.0,1,0.01,KXHIGHNY-26JAN10-B52.5,MM,0.04,2,0.7599999999999991,1.0,98.0,,
2026-01-09 21:08:48.175160,BUY_NO,2.0,1,0.01,KXHIGHNY-26JAN10-B52.5,MM,0.03,1,0.7299999999999991,0.5,98.5,,
2026-01-09 21:09:27.909435,BUY_YES,2.0,1,0.01,KXHIGHNY-26JAN10-B54.5,MM,0.03,2,0.6999999999999991,1.0,1.0,,
2026-01-09 21:12:40.732146,BUY_YES,2.0,1,0.01,KXHIGHNY-26JAN10-B54.5,MM,0.03,1,0.669999999999999,0.5,1.5,,
2026-01-09 21:12:49.953318,BUY_YES,2.0,1,0.01,KXHIGHNY-26JAN10-B54.5,MM,0.03,2,0.639999999999999,1.0,1.0,,
2026-01-09 21:34:54.732488,BUY_YES,2.0,1,0.01,KXHIGHNY-26JAN10-B54.5,MM,0.03,2,0.609999999999999,1.0,1.0,,
2026-01-09 21:35:44.659494,BUY_YES,2.0,1,0.01,KXHIGHNY-26JAN10-B54.5,MM,0.03,2,0.579999999999999,1.0,1.0,,
2026-01-09 21:49:00.437820,BUY_YES,2.0,1,0.01,KXHIGHNY-26JAN10-B54.5,MM,0.03,2,0.5499999999999989,1.0,1.0,,
