time,action,ticker,price,qty,fee,cost,source,order_id
2026-01-06 13:57:15.677496,BUY_YES,KXHIGHNY-26JAN06-B43.5,7,2,0.01,0.15000000000000002,MM,
2026-01-06 13:57:33.524038,BUY_YES,KXHIGHNY-26JAN06-B43.5,6,1,0.01,0.06999999999999999,MM,
2026-01-06 15:08:03.949935,BUY_NO,KXHIGHNY-26JAN06-B41.5,20,1,0.02,0.22,MM,
2026-01-06 15:08:20.617224,BUY_NO,KXHIGHNY-26JAN06-B41.5,20,1,0.02,0.22,MM,
2026-01-06 15:11:04.871604,BUY_NO,KXHIGHNY-26JAN06-B41.5,19,1,0.02,0.21,MM,
2026-01-06 15:11:07.081604,BUY_NO,KXHIGHNY-26JAN06-B41.5,19,1,0.02,0.21,MM,
2026-01-06 15:21:46.698388,BUY_YES,KXHIGHNY-26JAN07-B49.5,38,1,0.02,0.4,MM,
2026-01-06 15:23:18.190007,BUY_NO,KXHIGHNY-26JAN06-B41.5,17,1,0.01,0.18000000000000002,MM,
2026-01-06 15:23:23.418835,BUY_NO,KXHIGHNY-26JAN06-B41.5,18,1,0.02,0.19999999999999998,MM,
2026-01-06 15:26:12.364131,BUY_NO,KXHIGHNY-26JAN06-B41.5,14,1,0.01,0.15000000000000002,MM,
2026-01-06 15:26:18.537086,BUY_NO,KXHIGHNY-26JAN06-B41.5,14,1,0.01,0.15000000000000002,MM,
2026-01-06 15:26:21.216327,BUY_NO,KXHIGHNY-26JAN06-B41.5,14,1,0.01,0.15000000000000002,MM,
2026-01-06 15:26:25.377621,BUY_NO,KXHIGHNY-26JAN06-B41.5,13,1,0.01,0.14,MM,
2026-01-06 15:26:27.455170,BUY_NO,KXHIGHNY-26JAN06-B41.5,13,1,0.01,0.14,MM,
2026-01-06 15:26:30.045661,BUY_NO,KXHIGHNY-26JAN06-B41.5,14,1,0.01,0.15000000000000002,MM,
