time,action,ticker,price,qty,fee,cost,source
2026-01-05 15:41:49.924747,BUY_NO,KXHIGHNY-26JAN05-B37.5,31.0,2,0.03,0.65,SIM
2026-01-05 15:41:50.131134,BUY_NO,KXHIGHNY-26JAN05-B37.5,30.0,4,0.06,1.26,SIM
2026-01-05 15:41:56.198849,BUY_YES,KXHIGHNY-26JAN05-B35.5,28.0,9,0.13,2.6500000000000004,SIM
2026-01-05 15:41:57.082524,BUY_YES,KXHIGHNY-26JAN05-B35.5,27.0,7,0.1,1.9900000000000002,SIM
2026-01-05 15:41:58.090499,BUY_YES,KXHIGHNY-26JAN05-B35.5,26.0,9,0.13,2.4699999999999998,SIM
2026-01-05 15:42:01.648971,BUY_YES,KXHIGHNY-26JAN05-B35.5,28.0,5,0.08,1.4800000000000002,SIM
2026-01-05 15:42:03.421592,BUY_YES,KXHIGHNY-26JAN05-B35.5,27.0,7,0.1,1.9900000000000002,SIM
2026-01-05 15:42:06.525668,BUY_YES,KXHIGHNY-26JAN05-B35.5,27.0,5,0.07,1.4200000000000002,SIM
2026-01-05 15:42:07.425490,BUY_YES,KXHIGHNY-26JAN05-B35.5,26.0,3,0.05,0.8300000000000001,SIM
2026-01-05 15:42:11.858887,BUY_YES,KXHIGHNY-26JAN05-B35.5,27.0,2,0.03,0.5700000000000001,SIM
2026-01-05 15:42:13.089828,BUY_YES,KXHIGHNY-26JAN05-B35.5,26.0,1,0.02,0.28,SIM
2026-01-05 15:42:14.115260,BUY_YES,KXHIGHNY-26JAN05-B35.5,25.0,2,0.03,0.53,SIM
2026-01-05 15:42:25.201477,BUY_YES,KXHIGHNY-26JAN05-B35.5,24.0,6,0.08,1.52,SIM
2026-01-05 15:42:26.980999,BUY_YES,KXHIGHNY-26JAN05-B35.5,23.0,4,0.05,0.9700000000000001,SIM
2026-01-05 15:42:29.279383,BUY_NO,KXHIGHNY-26JAN05-B37.5,24.0,9,0.12,2.2800000000000002,SIM
2026-01-05 15:46:41.764086,BUY_YES,KXHIGHNY-26JAN05-B35.5,24.0,3,0.04,0.76,SIM
2026-01-05 15:46:55.860439,BUY_YES,KXHIGHNY-26JAN05-B35.5,24.0,2,0.03,0.51,SIM
2026-01-05 15:47:10.974329,BUY_NO,KXHIGHNY-26JAN05-B37.5,25.0,6,0.08,1.58,SIM
2026-01-05 15:47:20.775844,BUY_YES,KXHIGHNY-26JAN05-B35.5,23.0,5,0.07,1.2200000000000002,SIM
2026-01-05 15:47:21.863701,BUY_NO,KXHIGHNY-26JAN05-B37.5,25.0,8,0.11,2.11,SIM
