timestamp,strategy,ticker,action,price,qty,cost,fee
2025-12-16 09:05:28.959099,Safe Baseline (Wait 120m | Risk 50%),KXHIGHNY-25DEC17-B43.5,BUY_NO,64,8,5.12,0.00
2025-12-17 09:00:40.395583,Safe Baseline (Wait 120m | Risk 50%),KXHIGHNY-25DEC18-B52.5,BUY_NO,65,8,5.2,0.00
2025-12-18 09:01:35.118484,Safe Baseline (Wait 120m | Risk 50%),KXHIGHNY-25DEC19-B58.5,BUY_NO,68,10,6.800000000000001,0.00
2025-12-19 09:01:24.828584,Safe Baseline (Wait 120m | Risk 50%),KXHIGHNY-25DEC20-B38.5,BUY_NO,55,12,6.6000000000000005,0.00
2025-12-21 21:21:40.458889,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,16,7,1.1900000000000002,0.07
2025-12-21 21:21:53.823000,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,16,6,1.02,0.06
2025-12-21 21:22:05.908815,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,8,1.28,0.08
2025-12-21 21:22:09.902331,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,16,5,0.8500000000000001,0.05
2025-12-21 21:22:33.238982,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,5,0.8,0.05
2025-12-21 21:22:35.568353,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,16,2,0.34,0.02
2025-12-21 21:26:07.963969,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,16,1,0.17,0.01
2025-12-21 21:26:11.066944,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,13,6,0.8300000000000001,0.05
2025-12-21 21:26:16.507640,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,2,0.32,0.02
2025-12-21 21:34:45.607091,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,1,0.16,0.01
2025-12-21 21:34:49.625148,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,1,0.16,0.01
2025-12-21 21:34:51.719555,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,1,0.16,0.01
2025-12-21 21:34:53.547262,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,1,0.16,0.01
2025-12-21 21:49:07.392564,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,1,0.16,0.01
2025-12-21 21:49:25.058227,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,1,0.16,0.01
2025-12-21 21:49:34.076227,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,1,0.16,0.01
2025-12-21 21:50:43.187257,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,15,1,0.16,0.01
2025-12-21 22:12:29.452142,Live RegimeSwitcher,KXHIGHNY-25DEC22-B42.5,BUY_YES,5,3,0.16000000000000003,0.01
2025-12-21 22:13:56.731833,Live RegimeSwitcher,KXHIGHNY-25DEC22-B42.5,BUY_YES,5,2,0.11,0.01
2025-12-21 22:34:56.764555,Live RegimeSwitcher,KXHIGHNY-25DEC22-B40.5,BUY_NO,70,1,0.72,0.02
2025-12-21 22:36:33.931677,Live RegimeSwitcher,KXHIGHNY-25DEC22-B38.5,BUY_YES,53,1,0.55,0.02
2025-12-21 22:58:23.737180,Live RegimeSwitcher,KXHIGHNY-25DEC22-T36,BUY_YES,3,4,0.13,0.01
2025-12-21 23:18:13.788027,Live RegimeSwitcher,KXHIGHNY-25DEC22-T36,BUY_YES,3,2,0.06999999999999999,0.01
2025-12-21 23:21:48.993547,Live RegimeSwitcher,KXHIGHNY-25DEC22-B38.5,BUY_YES,51,1,0.53,0.02
2025-12-21 23:21:54.997423,Live RegimeSwitcher,KXHIGHNY-25DEC22-B38.5,BUY_YES,50,1,0.52,0.02
2025-12-21 23:22:07.993831,Live RegimeSwitcher,KXHIGHNY-25DEC22-B38.5,BUY_YES,49,1,0.51,0.02
2025-12-21 23:26:52.817966,Live RegimeSwitcher,KXHIGHNY-25DEC22-B42.5,BUY_YES,3,4,0.13,0.01
2025-12-22 05:00:29.627236,Live RegimeSwitcher,KXHIGHNY-25DEC22-B40.5,BUY_NO,64,1,0.66,0.02
2025-12-22 05:01:30.626732,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,3,0.39,0.03
2025-12-22 05:01:51.789666,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,2,0.26,0.02
2025-12-22 05:02:19.075663,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,2,0.26,0.02
2025-12-22 05:02:20.809055,Live RegimeSwitcher,KXHIGHNY-25DEC22-B40.5,BUY_NO,63,1,0.65,0.02
2025-12-22 05:02:20.974203,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,2,0.26,0.02
2025-12-22 05:02:24.326758,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,2,0.26,0.02
2025-12-22 05:02:28.086128,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,1,0.13,0.01
2025-12-22 05:02:35.737459,Live RegimeSwitcher,KXHIGHNY-25DEC22-B40.5,BUY_NO,64,1,0.66,0.02
2025-12-22 05:04:02.930038,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,1,0.13,0.01
2025-12-22 05:08:05.547772,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,1,0.13,0.01
2025-12-22 05:08:08.087763,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,1,0.13,0.01
2025-12-22 05:08:11.418902,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,1,0.13,0.01
2025-12-22 05:08:14.312427,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,1,0.13,0.01
2025-12-22 05:08:20.427330,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,12,1,0.13,0.01
2025-12-22 05:09:56.298096,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,11,1,0.12,0.01
2025-12-22 05:14:53.055784,Live RegimeSwitcher,KXHIGHNY-25DEC22-T36,BUY_YES,2,7,0.15000000000000002,0.01
2025-12-22 05:54:16.376470,Live RegimeSwitcher,KXHIGHNY-25DEC22-B36.5,BUY_YES,8,1,0.09,0.01
