time,ticker,side,price,qty,status,filled,order_id,order_time,ready_at,fill_latency_s
2026-01-09 01:10:36.902659,KXHIGHNY-26JAN09-T49,no,99.0,7,executed,7,SIM_1,2026-01-09 01:10:36.902659,2026-01-09 01:10:36.902659,0.0
2026-01-09 01:10:36.902659,KXHIGHNY-26JAN09-T49,no,99.0,7,executed,7,SIM_2,2026-01-09 01:10:36.902659,2026-01-09 01:10:36.902659,0.0
2026-01-09 02:07:54.494747,KXHIGHNY-26JAN09-B49.5,no,90.0,1,executed,1,SIM_3,2026-01-09 02:07:54.494747,2026-01-09 02:07:54.494747,0.0
2026-01-09 02:07:54.494747,KXHIGHNY-26JAN09-B49.5,no,90.0,1,executed,1,SIM_4,2026-01-09 02:07:54.494747,2026-01-09 02:07:54.494747,0.0
2026-01-09 04:18:11.355745,KXHIGHNY-26JAN09-B49.5,no,90.0,10,executed,10,SIM_5,2026-01-09 04:18:11.355745,2026-01-09 04:18:11.355745,0.0
2026-01-09 04:18:11.355745,KXHIGHNY-26JAN09-B49.5,no,90.0,10,executed,10,SIM_6,2026-01-09 04:18:11.355745,2026-01-09 04:18:11.355745,0.0
2026-01-09 04:18:11.631656,KXHIGHNY-26JAN09-B49.5,no,90.0,3,executed,3,SIM_7,2026-01-09 04:18:11.631656,2026-01-09 04:18:11.631656,0.0
2026-01-09 04:18:11.631656,KXHIGHNY-26JAN09-B49.5,no,90.0,3,executed,3,SIM_8,2026-01-09 04:18:11.631656,2026-01-09 04:18:11.631656,0.0
2026-01-09 04:18:11.721081,KXHIGHNY-26JAN09-B49.5,no,91.0,1,executed,1,SIM_9,2026-01-09 04:18:11.721081,2026-01-09 04:18:11.721081,0.0
2026-01-09 04:18:11.721081,KXHIGHNY-26JAN09-B49.5,no,91.0,1,executed,1,SIM_10,2026-01-09 04:18:11.721081,2026-01-09 04:18:11.721081,0.0
