94728KNYC NYC20250401000012604/01/25 00:00:31  5-MIN KNYC 010500Z AUTO 00000KT 4SM BR OVC090 14/13 A2960 450 93 500 000/00 RMK AO2 P0001 T01440133 PWINO $
94728KNYC NYC20250401000513004/01/25 00:05:31  5-MIN KNYC 010505Z AUTO 00000KT 4SM -RA BR OVC090 14/13 A2961 450 93 500 000/00 RMK AO2 RAB02 P0002 T01440133 $
94728KNYC NYC20250401001013004/01/25 00:10:31  5-MIN KNYC 010510Z AUTO 00000KT 4SM -RA BR OVC090 14/13 A2961 450 93 500 000/00 RMK AO2 RAB02 P0003 T01440133 $
94728KNYC NYC20250401001512904/01/25 00:15:31  5-MIN KNYC 010515Z AUTO 00000KT 5SM RA BR OVC080 14/13 A2961 450 93 500 000/00 RMK AO2 RAB02 P0003 T01440133 $
94728KNYC NYC20250401002013604/01/25 00:20:31  5-MIN KNYC 010520Z AUTO 27003KT 5SM RA BR BKN080 OVC090 14/13 A2961 450 93 500 280/03 RMK AO2 RAB02 P0004 T01440133 $
94728KNYC NYC20250401002512904/01/25 00:25:31  5-MIN KNYC 010525Z AUTO 00000KT 4SM RA BR OVC080 14/13 A2961 450 93 500 000/00 RMK AO2 RAB02 P0005 T01440133 $
94728KNYC NYC20250401003013004/01/25 00:30:31  5-MIN KNYC 010530Z AUTO 00000KT 4SM -RA BR OVC080 14/13 A2961 450 93 500 000/00 RMK AO2 RAB02 P0006 T01440133 $
94728KNYC NYC20250401003513004/01/25 00:35:31  5-MIN KNYC 010535Z AUTO 00000KT 6SM -RA BR OVC080 14/13 A2960 450 93 500 000/00 RMK AO2 RAB02 P0006 T01440133 $
94728KNYC NYC20250401004012704/01/25 00:40:31  5-MIN KNYC 010540Z AUTO 00000KT 7SM -RA OVC080 14/13 A2961 450 93 500 000/00 RMK AO2 RAB02 P0007 T01440133 $
94728KNYC NYC20250401004515804/01/25 00:45:31  5-MIN KNYC 010545Z AUTO 00000KT 7SM -RA OVC080 14/13 A2961 450 93 500 000/00 RMK AO2 RAB02 SLP016 P0007 60119 T01440133 10156 20144 50013 $
94728KNYC NYC20250401005016504/01/25 00:50:31  5-MIN KNYC 010550Z AUTO 00000KT 8SM -RA SCT075 OVC085 14/13 A2960 450 93 500 000/00 RMK AO2 RAB02 SLP015 P0007 60119 T01440133 10156 20144 50013 $
94728KNYC NYC20250401005512804/01/25 00:55:31  5-MIN KNYC 010555Z AUTO 00000KT 9SM -RA SCT060 OVC080 14/13 A2960 460 93 500 000/00 RMK AO2 P0000 T01440133 $
94728KNYC NYC20250401010012804/01/25 01:00:31  5-MIN KNYC 010600Z AUTO 00000KT 8SM -RA BKN060 OVC085 14/13 A2960 460 93 500 000/00 RMK AO2 P0000 T01440133 $
94728KNYC NYC20250401010513104/01/25 01:05:31  5-MIN KNYC 010605Z AUTO 00000KT 6SM -RA BR BKN065 OVC085 14/13 A2959 460 93 500 000/00 RMK AO2 P0000 T01440133 $
94728KNYC NYC20250401011013104/01/25 01:10:31  5-MIN KNYC 010610Z AUTO 00000KT 5SM -RA BR BKN065 OVC080 14/13 A2958 470 93 600 000/00 RMK AO2 P0000 T01440133 $
94728KNYC NYC20250401011513804/01/25 01:15:31  5-MIN KNYC 010615Z AUTO VRB03KT 4SM -RA BR BKN065 OVC080 14/13 A2956 490 90 600 VRB/03 RMK AO2 PRESFR P0001 T01440128 $
94728KNYC NYC20250401012014204/01/25 01:20:31  5-MIN KNYC 010620Z AUTO 29004KT 2 1/2SM -RA BR FEW033 BKN065 OVC095 14/13 A2959 460 90 500 300/04 RMK AO2 P0001 T01440128 $
94728KNYC NYC20250401012513804/01/25 01:25:31  5-MIN KNYC 010625Z AUTO 30004KT 3SM -RA BR FEW033 BKN065 OVC080 14/13 A2959 470 93 600 310/04 RMK AO2 P0001 T01440133 $
94728KNYC NYC20250401013013804/01/25 01:30:31  5-MIN KNYC 010630Z AUTO 28003KT 6SM -RA BR SCT036 BKN065 OVC080 14/13 A2959 470 93 600 290/03 RMK AO2 P0001 T01440133 $
94728KNYC NYC20250401013512804/01/25 01:35:31  5-MIN KNYC 010635Z AUTO 6SM -RA BR FEW012 BKN035 OVC080 13/12 A2961 450 93 400 M /M RMK AO2 P0001 T01330122 $
94728KNYC NYC20250401014012504/01/25 01:40:31  5-MIN KNYC 010640Z AUTO 6SM -RA FEW008 BKN035 OVC090 12/09 A2961 450 83 200 M /M RMK AO2 P0002 T01170089 $
94728KNYC NYC20250401014518904/01/25 01:45:31  5-MIN KNYC 010645Z AUTO 31010G25KT 180V110 9SM -RA SCT014 BKN021 OVC070 11/08 A2963 430 83 100 320/10G25 190V120 RMK AO2 PK WND 33027/0643 PRESRR SLP023 P0002 T01110083 $
94728KNYC NYC20250401015018104/01/25 01:50:31  5-MIN KNYC 010650Z AUTO 30009G25KT 270V120 10SM -RA SCT016 BKN023 OVC070 11/07 A2962 440 80 0 320/09G25 280V130 RMK AO2 PK WND 33027/0643 SLP022 P0002 T01060072 $
94728KNYC NYC20250401015512404/01/25 01:55:31  5-MIN KNYC 010655Z AUTO 10SM -RA SCT016 BKN023 OVC037 11/07 A2963 430 80 0 M /M RMK AO2 P0000 T01060072 $
94728KNYC NYC20250401020012704/01/25 02:00:31  5-MIN KNYC 010700Z AUTO VRB04KT 10SM -RA SCT016 OVC023 11/07 A2963 430 77 0 VRB/04 RMK AO2 P0000 T01060067 $
94728KNYC NYC20250401020512704/01/25 02:05:31  5-MIN KNYC 010705Z AUTO VRB03KT 10SM -RA FEW017 OVC025 11/07 A2963 420 77 0 VRB/03 RMK AO2 P0000 T01060067 $
94728KNYC NYC20250401021014204/01/25 02:10:31  5-MIN KNYC 010710Z AUTO 28007KT 240V330 9SM -RA FEW017 OVC025 11/07 A2963 420 77 0 300/07 250V340 RMK AO2 P0000 T01060067 $
94728KNYC NYC20250401021512004/01/25 02:15:31  5-MIN KNYC 010715Z AUTO 30007KT 10SM -RA OVC025 11/07 A2964 420 77 0 310/07 RMK AO2 P0000 T01060067 $
94728KNYC NYC20250401022012004/01/25 02:20:31  5-MIN KNYC 010720Z AUTO 29008KT 10SM -RA OVC025 10/07 A2964 420 80 0 310/08 RMK AO2 P0000 T01000067 $
94728KNYC NYC20250401022512004/01/25 02:25:31  5-MIN KNYC 010725Z AUTO VRB06KT 10SM -RA OVC025 11/07 A2964 420 77 0 VRB/06 RMK AO2 P0000 T01060067 $
94728KNYC NYC20250401023013504/01/25 02:30:31  5-MIN KNYC 010730Z AUTO 31008KT 270V350 7SM -RA OVC027 10/07 A2963 420 80 0 320/08 280V360 RMK AO2 P0000 T01000067 $
94728KNYC NYC20250401023513204/01/25 02:35:31  5-MIN KNYC 010735Z AUTO 30011G20KT 6SM -RA BKN027 OVC032 10/07 A2964 420 80 0 310/11G20 RMK AO2 P0000 T01000067 $
