94728KNYC NYC20250601062511306/01/25 06:25:31  5-MIN KNYC 011125Z AUTO VRB05G17KT 10SM CLR 11/06 A2969 370 68 0 VRB/05G17 RMK AO2 T01110056 $
94728KNYC NYC20250601063010706/01/25 06:30:31  5-MIN KNYC 011130Z AUTO 00000KT 10SM CLR 11/06 A2969 370 68 0 000/00 RMK AO2 T01110056 $
94728KNYC NYC20250601063511306/01/25 06:35:31  5-MIN KNYC 011135Z AUTO 25009G20KT 10SM CLR 11/06 A2969 370 68 0 260/09G20 RMK AO2 T01110056 $
94728KNYC NYC20250601064011306/01/25 06:40:31  5-MIN KNYC 011140Z AUTO VRB05G20KT 10SM CLR 11/05 A2969 370 66 0 VRB/05G20 RMK AO2 T01110050 $
94728KNYC NYC20250601064514006/01/25 06:45:31  5-MIN KNYC 011145Z AUTO VRB04G15KT 10SM CLR 12/06 A2969 370 66 100 VRB/04G15 RMK AO2 SLP044 T01170056 10117 20100 53017 $
94728KNYC NYC20250601065014006/01/25 06:50:31  5-MIN KNYC 011150Z AUTO 24006G15KT 10SM CLR 12/06 A2969 370 66 100 250/06G15 RMK AO2 SLP045 T01170056 10117 20100 53017 $
94728KNYC NYC20250601065509906/01/25 06:55:31  5-MIN KNYC 011155Z AUTO 10SM CLR 12/06 A2969 370 66 100 M /M RMK AO2 T01170056 $
94728KNYC NYC20250601070010906/01/25 07:00:31  5-MIN KNYC 011200Z AUTO 26005KT 10SM CLR 12/06 A2969 370 68 100 280/05 RMK AO2 T01170061 $
94728KNYC NYC20250601070513106/01/25 07:05:31  5-MIN KNYC 011205Z AUTO 23009G16KT 200V270 10SM CLR 12/06 A2969 370 66 200 250/09G16 210V280 RMK AO2 T01220061 $
94728KNYC NYC20250601071013106/01/25 07:10:31  5-MIN KNYC 011210Z AUTO 22009G19KT 190V270 10SM CLR 12/06 A2969 370 63 200 240/09G19 200V280 RMK AO2 T01220056 $
94728KNYC NYC20250601071509906/01/25 07:15:31  5-MIN KNYC 011215Z AUTO 10SM CLR 12/06 A2969 370 63 200 M /M RMK AO2 T01220056 $
94728KNYC NYC20250601072013106/01/25 07:20:31  5-MIN KNYC 011220Z AUTO 24012G23KT 050V280 10SM CLR 12/06 A2969 370 63 200 250/12G23 060V290 RMK AO2 T01220056 $
94728KNYC NYC20250601072511506/01/25 07:25:31  5-MIN KNYC 011225Z AUTO 23010G23KT 10SM CLR 12/05 A2969 370 61 200 240/10G23 RMK AO2 T01220050 $
94728KNYC NYC20250601073011506/01/25 07:30:31  5-MIN KNYC 011230Z AUTO 26011G17KT 10SM CLR 13/05 A2969 370 59 200 270/11G17 RMK AO2 T01280050 $
94728KNYC NYC20250601073511506/01/25 07:35:31  5-MIN KNYC 011235Z AUTO VRB06G17KT 10SM CLR 13/05 A2969 370 59 200 VRB/06G17 RMK AO2 T01280050 $
94728KNYC NYC20250601074010206/01/25 07:40:31  5-MIN KNYC 011240Z AUTO 10SM FEW047 13/06 A2969 370 61 200 M /M RMK AO2 T01280056 $
94728KNYC NYC20250601074514806/01/25 07:45:31  5-MIN KNYC 011245Z AUTO 24009G21KT 210V280 10SM FEW038 SCT047 13/05 A2970 360 59 200 250/09G21 220V290 RMK AO2 SLP047 T01280050 $
94728KNYC NYC20250601075014106/01/25 07:50:31  5-MIN KNYC 011250Z AUTO 24011G22KT 200V270 10SM BKN047 13/05 A2970 360 59 200 250/11G22 210V280 RMK AO2 SLP047 T01280050 $
94728KNYC NYC20250601075511806/01/25 07:55:31  5-MIN KNYC 011255Z AUTO VRB06G22KT 10SM BKN047 13/05 A2970 360 59 200 VRB/06G22 RMK AO2 T01280050 $
94728KNYC NYC20250601080010206/01/25 08:00:31  5-MIN KNYC 011300Z AUTO 10SM BKN049 13/06 A2970 360 61 200 M /M RMK AO2 T01280056 $
94728KNYC NYC20250601080513406/01/25 08:05:31  5-MIN KNYC 011305Z AUTO 25010G16KT 210V280 10SM BKN049 13/06 A2970 360 59 300 260/10G16 220V290 RMK AO2 T01330056 $
94728KNYC NYC20250601081011806/01/25 08:10:31  5-MIN KNYC 011310Z AUTO VRB05G22KT 10SM BKN049 13/05 A2970 360 57 300 VRB/05G22 RMK AO2 T01330050 $
94728KNYC NYC20250601081512506/01/25 08:15:31  5-MIN KNYC 011315Z AUTO VRB04G22KT 10SM SCT041 BKN049 13/06 A2970 360 59 300 VRB/04G22 RMK AO2 T01330056 $
94728KNYC NYC20250601082010906/01/25 08:20:31  5-MIN KNYC 011320Z AUTO 10SM BKN039 BKN049 13/06 A2970 360 61 300 M /M RMK AO2 T01330061 $
94728KNYC NYC20250601082513506/01/25 08:25:31  5-MIN KNYC 011325Z AUTO 27007KT 230V320 10SM BKN039 BKN049 13/06 A2970 360 59 300 280/07 240V330 RMK AO2 T01330056 $
94728KNYC NYC20250601083013506/01/25 08:30:31  5-MIN KNYC 011330Z AUTO 26007KT 220V290 10SM SCT036 OVC046 13/06 A2971 360 59 300 270/07 230V300 RMK AO2 T01330056 $
94728KNYC NYC20250601083512506/01/25 08:35:31  5-MIN KNYC 011335Z AUTO 27010G16KT 10SM BKN038 OVC047 13/06 A2971 360 59 300 280/10G16 RMK AO2 T01330056 $
94728KNYC NYC20250601084012506/01/25 08:40:31  5-MIN KNYC 011340Z AUTO VRB05G19KT 10SM BKN039 OVC049 13/05 A2971 350 57 300 VRB/05G19 RMK AO2 T01330050 $
94728KNYC NYC20250601084513206/01/25 08:45:31  5-MIN KNYC 011345Z AUTO VRB05G19KT 10SM SCT036 OVC046 13/06 A2971 360 59 300 VRB/05G19 RMK AO2 SLP051 T01330056 $
94728KNYC NYC20250601085011606/01/25 08:50:31  5-MIN KNYC 011350Z AUTO 10SM SCT038 OVC048 13/06 A2971 350 61 300 M /M RMK AO2 SLP051 T01330061 $
94728KNYC NYC20250601085511906/01/25 08:55:31  5-MIN KNYC 011355Z AUTO VRB05KT 10SM FEW034 OVC048 13/05 A2971 350 57 300 VRB/05 RMK AO2 T01330050 $
94728KNYC NYC20250601090013506/01/25 09:00:31  5-MIN KNYC 011400Z AUTO 28007KT 230V310 10SM BKN042 OVC050 13/04 A2971 350 54 300 290/07 240V320 RMK AO2 T01330044 $
94728KNYC NYC20250601090512506/01/25 09:05:31  5-MIN KNYC 011405Z AUTO VRB06G19KT 10SM FEW034 OVC047 13/04 A2972 350 52 300 VRB/06G19 RMK AO2 T01330039 $
94728KNYC NYC20250601091010906/01/25 09:10:31  5-MIN KNYC 011410Z AUTO 10SM BKN048 OVC055 14/04 A2972 350 52 300 M /M RMK AO2 T01390044 $
94728KNYC NYC20250601091513406/01/25 09:15:31  5-MIN KNYC 011415Z AUTO 27008G15KT 250V320 10SM OVC048 14/03 A2972 340 48 300 280/08G15 260V330 RMK AO2 T01390033 $
94728KNYC NYC20250601092011806/01/25 09:20:31  5-MIN KNYC 011420Z AUTO 29008G18KT 10SM OVC046 14/04 A2972 340 50 300 300/08G18 RMK AO2 T01390039 $
94728KNYC NYC20250601092513406/01/25 09:25:31  5-MIN KNYC 011425Z AUTO 28009G18KT 220V300 10SM OVC046 14/04 A2973 340 50 300 290/09G18 230V310 RMK AO2 T01390039 $
