time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,strategy
2025-12-04 13:43:40.216516,BUY_NO,KXHIGHNY-25DEC05-B34.5,70,22,0.33,15.729999999999999,MM,1,984.27,0.5,30.5,RegimeSwitcher
2025-12-04 13:43:40.228468,BUY_YES,KXHIGHNY-25DEC05-B30.5,16,292,2.75,49.47,MM,2,934.8,1.0,15.0,RegimeSwitcher
2025-12-04 13:43:44.319356,BUY_NO,KXHIGHNY-25DEC05-B34.5,70,15,0.23,10.73,MM,2,924.0699999999999,1.0,31.0,RegimeSwitcher
2025-12-04 13:43:46.953937,BUY_NO,KXHIGHNY-25DEC05-B34.5,69,25,0.38,17.63,MM,1,906.4399999999999,0.5,31.5,RegimeSwitcher
2025-12-04 13:45:57.785951,BUY_NO,KXHIGHNY-25DEC05-B36.5,93,10,0.05,9.350000000000001,MM,2,897.0899999999999,1.0,8.0,RegimeSwitcher
2025-12-04 13:46:06.078015,BUY_NO,KXHIGHNY-25DEC05-B34.5,69,17,0.26,11.989999999999998,MM,1,885.0999999999999,0.5,31.5,RegimeSwitcher
2025-12-04 13:46:06.078377,BUY_NO,KXHIGHNY-25DEC05-B36.5,93,8,0.04,7.48,MM,2,877.6199999999999,1.0,8.0,RegimeSwitcher
2025-12-04 13:46:10.952627,BUY_YES,KXHIGHNY-25DEC05-B30.5,15,150,1.34,23.84,MM,2,853.7799999999999,1.0,14.0,RegimeSwitcher
2025-12-04 13:47:58.398592,BUY_NO,KXHIGHNY-25DEC05-B36.5,93,5,0.03,4.680000000000001,MM,4,849.0999999999999,2.0,9.0,RegimeSwitcher
2025-12-04 13:49:42.616342,BUY_NO,KXHIGHNY-25DEC05-B36.5,93,2,0.01,1.87,MM,2,847.2299999999999,1.0,8.0,RegimeSwitcher
2025-12-04 13:51:53.243505,BUY_YES,KXHIGHNY-25DEC05-B30.5,15,58,0.52,9.219999999999999,MM,2,838.0099999999999,1.0,14.0,RegimeSwitcher
2025-12-04 13:51:55.613858,BUY_NO,KXHIGHNY-25DEC05-B34.5,69,10,0.15,7.05,MM,1,830.9599999999999,0.5,31.5,RegimeSwitcher
2025-12-04 13:52:24.730089,BUY_NO,KXHIGHNY-25DEC05-B34.5,69,4,0.06,2.82,MM,1,828.1399999999999,0.5,31.5,RegimeSwitcher
2025-12-04 14:03:45.101058,BUY_YES,KXHIGHNY-25DEC05-B32.5,44,8,0.14,3.66,MM,1,824.4799999999999,0.5,43.5,RegimeSwitcher
2025-12-04 14:06:58.619731,BUY_YES,KXHIGHNY-25DEC05-B32.5,42,61,1.05,26.669999999999998,MM,1,797.81,0.5,41.5,RegimeSwitcher
2025-12-04 14:07:05.854377,BUY_NO,KXHIGHNY-25DEC05-B36.5,91,18,0.11,16.49,MM,1,781.3199999999999,0.5,9.5,RegimeSwitcher
2025-12-04 14:07:09.172730,BUY_NO,KXHIGHNY-25DEC05-B36.5,91,13,0.08,11.91,MM,1,769.41,0.5,9.5,RegimeSwitcher
2025-12-04 14:08:07.036298,BUY_YES,KXHIGHNY-25DEC05-B32.5,43,13,0.23,5.82,MM,2,763.5899999999999,1.0,42.0,RegimeSwitcher
2025-12-04 14:08:10.729337,BUY_YES,KXHIGHNY-25DEC05-B32.5,43,4,0.07,1.79,MM,1,761.8,0.5,42.5,RegimeSwitcher
2025-12-04 14:08:26.064997,BUY_NO,KXHIGHNY-25DEC05-B34.5,68,7,0.11,4.870000000000001,MM,2,756.93,1.0,33.0,RegimeSwitcher
2025-12-04 14:08:29.796937,BUY_NO,KXHIGHNY-25DEC05-B36.5,91,9,0.06,8.25,MM,1,748.68,0.5,9.5,RegimeSwitcher
2025-12-04 14:13:40.137546,BUY_NO,KXHIGHNY-25DEC05-B36.5,91,6,0.04,5.5,MM,1,743.18,0.5,9.5,RegimeSwitcher
2025-12-04 14:16:30.346198,BUY_NO,KXHIGHNY-25DEC05-B36.5,91,4,0.03,3.67,MM,1,739.51,0.5,9.5,RegimeSwitcher
2025-12-04 17:53:19.920077,BUY_NO,KXHIGHNY-25DEC05-B34.5,75,6,0.08,4.58,MM,1,734.93,0.5,25.5,RegimeSwitcher
2025-12-04 17:56:26.138732,BUY_NO,KXHIGHNY-25DEC05-B34.5,75,3,0.04,2.29,MM,2,732.64,1.0,26.0,RegimeSwitcher
2025-12-04 17:56:33.090585,BUY_NO,KXHIGHNY-25DEC05-B34.5,74,13,0.18,9.799999999999999,MM,1,722.84,0.5,26.5,RegimeSwitcher
2025-12-04 17:57:18.886897,BUY_NO,KXHIGHNY-25DEC05-B34.5,74,10,0.14,7.54,MM,1,715.3000000000001,0.5,26.5,RegimeSwitcher
2025-12-04 17:58:16.026398,BUY_NO,KXHIGHNY-25DEC05-B34.5,74,6,0.09,4.529999999999999,MM,2,710.7700000000001,1.0,27.0,RegimeSwitcher
2025-12-04 17:58:46.959294,BUY_NO,KXHIGHNY-25DEC05-B34.5,73,14,0.2,10.419999999999998,MM,1,700.3500000000001,0.5,27.5,RegimeSwitcher
2025-12-04 21:02:36.421159,BUY_YES,KXHIGHNY-25DEC05-B32.5,44,44,0.76,20.12,MM,2,680.2300000000001,1.0,43.0,RegimeSwitcher
2025-12-04 21:04:32.645312,BUY_YES,KXHIGHNY-25DEC05-B32.5,44,32,0.56,14.64,MM,2,665.5900000000001,1.0,43.0,RegimeSwitcher
2025-12-04 21:04:51.730701,BUY_YES,KXHIGHNY-25DEC05-B32.5,44,24,0.42,10.98,MM,2,654.6100000000001,1.0,43.0,RegimeSwitcher
2025-12-04 21:05:01.249837,BUY_YES,KXHIGHNY-25DEC05-B32.5,44,17,0.3,7.78,MM,2,646.8300000000002,1.0,43.0,RegimeSwitcher
2025-12-04 21:05:18.760771,BUY_NO,KXHIGHNY-25DEC05-T30,89,59,0.41,52.919999999999995,MM,2,593.9100000000002,1.0,12.0,RegimeSwitcher
2025-12-04 21:05:29.742191,BUY_NO,KXHIGHNY-25DEC05-T30,92,5,0.03,4.630000000000001,MM,1,589.2800000000002,0.5,8.5,RegimeSwitcher
2025-12-04 21:05:38.331117,BUY_YES,KXHIGHNY-25DEC05-B32.5,44,12,0.21,5.49,MM,1,583.7900000000002,0.5,43.5,RegimeSwitcher
2025-12-04 21:26:42.086127,BUY_NO,KXHIGHNY-25DEC05-B36.5,96,4,0.02,3.86,MM,1,579.9300000000002,0.5,4.5,RegimeSwitcher
2025-12-04 23:06:27.979222,BUY_NO,KXHIGHNY-25DEC05-T30,91,8,0.05,7.33,MM,3,572.6000000000001,1.5,10.5,RegimeSwitcher
2025-12-04 23:07:14.441682,BUY_NO,KXHIGHNY-25DEC05-T30,91,5,0.03,4.58,MM,1,568.0200000000001,0.5,9.5,RegimeSwitcher
