time,action,ticker,price,qty,fee,cost,source,capital_after
2025-12-23 13:15:32.180941,BUY_YES,KXHIGHNY-25DEC23-B42.5,6,1,0.01,0.06999999999999999,Replay,12.92
2025-12-23 13:25:48.012156,BUY_YES,KXHIGHNY-25DEC24-B46.5,9,7,0.05,0.68,Replay,12.24
2025-12-23 13:25:48.012156,BUY_YES,KXHIGHNY-25DEC24-B46.5,9,7,0.05,0.68,Replay,11.56
2025-12-23 13:25:59.216519,BUY_YES,KXHIGHNY-25DEC24-B46.5,9,6,0.04,0.5800000000000001,Replay,10.98
2025-12-23 13:25:59.216519,BUY_YES,KXHIGHNY-25DEC24-B46.5,9,6,0.04,0.5800000000000001,Replay,10.4
2025-12-23 13:26:23.636385,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,2,0.02,0.24,Replay,10.16
2025-12-23 13:26:23.636385,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,3,0.03,0.36,Replay,9.8
2025-12-23 13:26:59.118334,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,2,0.02,0.24,Replay,9.56
2025-12-23 13:26:59.118334,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,2,0.02,0.24,Replay,9.32
2025-12-23 13:27:04.411969,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,1,0.01,0.12,Replay,9.200000000000001
2025-12-23 13:27:04.411969,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,1,0.01,0.12,Replay,9.080000000000002
2025-12-23 13:27:17.987371,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,1,0.01,0.12,Replay,8.960000000000003
2025-12-23 13:27:17.987371,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,1,0.01,0.12,Replay,8.840000000000003
2025-12-23 13:27:56.315181,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,1,0.01,0.12,Replay,8.720000000000004
2025-12-23 13:27:56.315181,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,1,0.01,0.12,Replay,8.600000000000005
2025-12-23 13:28:02.550106,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,1,0.01,0.12,Replay,8.480000000000006
2025-12-23 13:28:02.550106,BUY_YES,KXHIGHNY-25DEC24-B46.5,11,1,0.01,0.12,Replay,8.360000000000007
2025-12-24 05:00:15.955590,PAYOUT,KXHIGHNY-25DEC23-B42.5,0,1,0.0,-0.0,Settlement,8.360000000000007
2025-12-24 05:00:15.955590,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,4,0.05,0.9700000000000001,Replay,7.390000000000007
2025-12-24 05:00:27.310810,BUY_YES,KXHIGHNY-25DEC24-B42.5,25,2,0.03,0.53,Replay,6.8600000000000065
2025-12-24 05:00:33.347923,BUY_NO,KXHIGHNY-25DEC24-T47,93,1,0.01,0.9400000000000001,Replay,5.920000000000006
2025-12-24 05:00:36.702633,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,2,0.03,0.49,Replay,5.430000000000006
2025-12-24 05:00:40.438722,BUY_YES,KXHIGHNY-25DEC24-B42.5,25,2,0.03,0.53,Replay,4.900000000000006
2025-12-24 05:00:45.396596,BUY_YES,KXHIGHNY-25DEC24-B42.5,24,2,0.03,0.51,Replay,4.390000000000006
2025-12-24 05:00:53.591706,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,2,0.03,0.49,Replay,3.9000000000000057
2025-12-24 05:00:55.982617,BUY_NO,KXHIGHNY-25DEC24-B44.5,48,1,0.02,0.5,Replay,3.4000000000000057
2025-12-24 05:01:00.873948,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,2,0.03,0.49,Replay,2.9100000000000055
2025-12-24 05:03:55.362987,BUY_YES,KXHIGHNY-25DEC24-B42.5,25,1,0.02,0.27,Replay,2.6400000000000055
2025-12-24 05:04:01.653569,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,2,0.03,0.49,Replay,2.1500000000000057
2025-12-24 05:04:06.761235,BUY_YES,KXHIGHNY-25DEC24-B42.5,22,2,0.03,0.47,Replay,1.6800000000000057
2025-12-24 05:04:09.524452,BUY_YES,KXHIGHNY-25DEC24-B42.5,24,1,0.02,0.26,Replay,1.4200000000000057
2025-12-24 05:04:14.381832,BUY_YES,KXHIGHNY-25DEC24-B42.5,21,2,0.03,0.44999999999999996,Replay,0.9700000000000057
2025-12-24 05:04:18.397695,BUY_YES,KXHIGHNY-25DEC24-B42.5,24,1,0.02,0.26,Replay,0.7100000000000057
2025-12-24 05:04:20.692009,BUY_YES,KXHIGHNY-25DEC24-B42.5,23,1,0.02,0.25,Replay,0.46000000000000574
2025-12-24 05:16:06.488214,BUY_NO,KXHIGHNY-25DEC24-B44.5,44,1,0.02,0.46,Replay,5.717648576819556e-15
2025-12-24 05:16:55.695207,BUY_NO,KXHIGHNY-25DEC24-B44.5,44,1,0.02,0.46,Replay,-0.4599999999999943
2025-12-24 05:17:18.217871,BUY_NO,KXHIGHNY-25DEC24-B44.5,44,1,0.02,0.46,Replay,-0.9199999999999944
2025-12-24 06:42:34.774943,BUY_YES,KXHIGHNY-25DEC24-B42.5,5,1,0.01,0.060000000000000005,Replay,-0.9799999999999944
2025-12-25 05:00:13.922918,PAYOUT,KXHIGHNY-25DEC24-B46.5,100,43,0.0,-43.0,Settlement,42.02
2025-12-25 05:00:13.922918,PAYOUT,KXHIGHNY-25DEC24-B42.5,0,27,0.0,-0.0,Settlement,42.02
2025-12-25 05:00:13.922918,PAYOUT,KXHIGHNY-25DEC24-T47,0,1,0.0,-1.0,Settlement,43.02
2025-12-25 05:00:13.922918,PAYOUT,KXHIGHNY-25DEC24-B44.5,0,4,0.0,-4.0,Settlement,47.02
2025-12-25 05:00:13.922918,BUY_YES,KXHIGHNY-25DEC25-B47.5,33,1,0.02,0.35000000000000003,Replay,46.67
