timestamp,ticker,action,actual_price,expected_price,actual_qty,signal_qty,fill_ratio,latency_ms,match_diff_sec
2025-12-23 13:15:32.180941,KXHIGHNY-25DEC23-B42.5,BUY_YES,6,6,1,1,1.0,,13.180941
2025-12-23 13:25:48.012156,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9,7,7,1.0,,24.012156
2025-12-23 13:25:48.012156,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9,7,7,1.0,,24.012156
2025-12-23 13:25:59.216519,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9,6,7,0.8571428571428571,,35.216519
2025-12-23 13:25:59.216519,KXHIGHNY-25DEC24-B46.5,BUY_YES,9,9,6,7,0.8571428571428571,,35.216519
2025-12-23 13:26:23.636385,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,2,2,1.0,,1.363615
2025-12-23 13:26:23.636385,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,3,2,1.5,,1.363615
2025-12-23 13:26:59.118334,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,2,2,1.0,,34.118334
2025-12-23 13:26:59.118334,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,2,2,1.0,,34.118334
2025-12-23 13:27:04.411969,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,1,2,0.5,,39.411969
2025-12-23 13:27:04.411969,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,1,2,0.5,,39.411969
2025-12-23 13:27:17.987371,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,1,2,0.5,,52.987371
2025-12-23 13:27:17.987371,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,1,2,0.5,,52.987371
2025-12-23 13:27:56.315181,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,1,1,1.0,,32.315181
2025-12-23 13:27:56.315181,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,1,1,1.0,,32.315181
2025-12-23 13:28:02.550106,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,1,1,1.0,,38.550106
2025-12-23 13:28:02.550106,KXHIGHNY-25DEC24-B46.5,BUY_YES,11,11,1,1,1.0,,38.550106
2025-12-24 05:00:15.955590,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,23,4,4,1.0,,42.95559
2025-12-24 05:00:27.310810,KXHIGHNY-25DEC24-B42.5,BUY_YES,25,23,2,4,0.5,,54.31081
2025-12-24 05:00:33.347923,KXHIGHNY-25DEC24-T47,BUY_NO,93,93,1,1,1.0,,0.347923
2025-12-24 05:00:36.702633,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,23,2,2,1.0,,3.702633
2025-12-24 05:00:40.438722,KXHIGHNY-25DEC24-B42.5,BUY_YES,25,23,2,2,1.0,,7.438722
2025-12-24 05:00:45.396596,KXHIGHNY-25DEC24-B42.5,BUY_YES,24,23,2,2,1.0,,12.396596
2025-12-24 05:00:53.591706,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,23,2,2,1.0,,20.591706
2025-12-24 05:00:55.982617,KXHIGHNY-25DEC24-B44.5,BUY_NO,48,48,1,1,1.0,,22.982617
2025-12-24 05:01:00.873948,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,23,2,2,1.0,,27.873948
2025-12-24 05:03:55.362987,KXHIGHNY-25DEC24-B42.5,BUY_YES,25,25,1,1,1.0,,21.362987
2025-12-24 05:04:01.653569,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,25,2,1,2.0,,27.653569
2025-12-24 05:04:06.761235,KXHIGHNY-25DEC24-B42.5,BUY_YES,22,25,2,1,2.0,,32.761235
2025-12-24 05:04:09.524452,KXHIGHNY-25DEC24-B42.5,BUY_YES,24,25,1,1,1.0,,35.524452
2025-12-24 05:04:14.381832,KXHIGHNY-25DEC24-B42.5,BUY_YES,21,25,2,1,2.0,,40.381832
2025-12-24 05:04:18.397695,KXHIGHNY-25DEC24-B42.5,BUY_YES,24,25,1,1,1.0,,44.397695
2025-12-24 05:04:20.692009,KXHIGHNY-25DEC24-B42.5,BUY_YES,23,25,1,1,1.0,,46.692009
2025-12-24 05:16:06.488214,KXHIGHNY-25DEC24-B44.5,BUY_NO,44,44,1,1,1.0,,27.488214
2025-12-24 05:16:55.695207,KXHIGHNY-25DEC24-B44.5,BUY_NO,44,44,1,1,1.0,,14.695207
2025-12-24 05:17:18.217871,KXHIGHNY-25DEC24-B44.5,BUY_NO,44,44,1,1,1.0,,37.217871
2025-12-24 06:42:34.774943,KXHIGHNY-25DEC24-B42.5,BUY_YES,5,7,1,2,0.5,,7.774943
2025-12-25 05:00:13.922918,KXHIGHNY-25DEC25-B47.5,BUY_YES,33,33,1,1,1.0,,9.922918
2025-12-25 05:00:16.667729,KXHIGHNY-25DEC25-B47.5,BUY_YES,33,33,1,1,1.0,,12.667729
2025-12-25 05:00:18.921215,KXHIGHNY-25DEC25-B45.5,BUY_YES,28,28,1,1,1.0,,14.921215
2025-12-25 05:00:19.161629,KXHIGHNY-25DEC25-B47.5,BUY_YES,37,33,1,1,1.0,,15.161629
2025-12-25 05:00:21.894847,KXHIGHNY-25DEC25-B45.5,BUY_YES,28,28,1,1,1.0,,17.894847
2025-12-25 05:00:25.783807,KXHIGHNY-25DEC25-B45.5,BUY_YES,27,28,1,1,1.0,,21.783807
