API,api_code,total_days,avg_deviance,median_deviance,max_deviance,std_deviance,exact_matches,exact_match_pct,avg_obs_count
NWS API,nws,6,0.5499999999999972,0.09999999999999432,2.0999999999999943,0.8502940667792517,2,33.33333333333333,18.0
NCEI ASOS,asos,95,0.5705263157894737,0.0,10.799999999999997,1.559587621723134,53,55.78947368421052,232.66315789473686
Synoptic API,synoptic,98,0.5755102040816319,0.0,6.0,1.1045418161419431,53,54.08163265306123,33.36734693877551
