date,threshold,actual_high,outcome,last_price,prediction_error
NOV20,45.0,46.04,0,1,0.01
NOV22,49.0,51.8,0,1,0.01
NOV23,47.0,48.02,0,1,0.01
NOV24,49.0,51.98,0,1,0.01
