date,equity,cash,holdings
2025-12-04,2.12,2.12,0.0
2025-12-05,2.12,2.12,0.0
2025-12-06,1.6199999999999999,1.5199999999999998,0.1
2025-12-07,1.5199999999999998,1.5199999999999998,0.0
2025-12-08,1.5199999999999998,1.5199999999999998,0.0
2025-12-09,1.5199999999999998,1.5199999999999998,0.0
2025-12-10,1.4049999999999996,1.3799999999999997,0.025
2025-12-11,1.3799999999999997,1.3799999999999997,0.0
2025-12-12,1.2849999999999995,1.2599999999999996,0.025
2025-12-13,1.099999999999999,0.6999999999999991,0.39999999999999997
2025-12-14,0.7399999999999991,0.6999999999999991,0.04
2025-12-15,0.5249999999999989,0.4899999999999989,0.035
2025-12-16,0.4899999999999989,0.4899999999999989,0.0
2025-12-17,0.36499999999999877,0.33999999999999875,0.025
2025-12-18,0.33999999999999875,0.33999999999999875,0.0
2025-12-19,0.33999999999999875,0.33999999999999875,0.0
2025-12-20,0.33999999999999875,0.33999999999999875,0.0
2025-12-21,0.33999999999999875,0.33999999999999875,0.0
2025-12-22,0.33999999999999875,0.33999999999999875,0.0
2025-12-23,0.33999999999999875,0.33999999999999875,0.0
2025-12-24,0.33999999999999875,0.33999999999999875,0.0
2025-12-25,0.33999999999999875,0.33999999999999875,0.0
2025-12-26,0.33999999999999875,0.33999999999999875,0.0
2025-12-27,0.33999999999999875,0.33999999999999875,0.0
2025-12-28,0.33999999999999875,0.33999999999999875,0.0
2025-12-29,0.33999999999999875,0.33999999999999875,0.0
2025-12-30,0.33999999999999875,0.33999999999999875,0.0
2025-12-31,0.33999999999999875,0.33999999999999875,0.0
2026-01-01,0.33999999999999875,0.33999999999999875,0.0
2026-01-02,0.33999999999999875,0.33999999999999875,0.0
2026-01-03,0.33999999999999875,0.33999999999999875,0.0
2026-01-04,0.33999999999999875,0.33999999999999875,0.0
2026-01-05,0.33999999999999875,0.33999999999999875,0.0
2026-01-06,0.33999999999999875,0.33999999999999875,0.0
2026-01-07,0.33999999999999875,0.33999999999999875,0.0
2026-01-08,0.33999999999999875,0.33999999999999875,0.0
2026-01-09,0.33999999999999875,0.33999999999999875,0.0
2026-01-10,0.33999999999999875,0.33999999999999875,0.0
2026-01-11,0.33999999999999875,0.33999999999999875,0.0
